Campaigns sent,Emails sent,Delivery rate,Delivery rate growth rate,Open rate,Open rate growth rate,Open rate total,Click rate,Click rate growth rate,Click rate total,Unsubscribe rate,Unsubscribe rate growth rate,Unsubscribe rate total,Bounce rate,Bounce rate growth rate,Bounce rate total
LD Expert Seminars,Mon 13 Mar 2023,63,31,49.21,5,7.94,16.13,FALSE,Get ready for your Leadership Development Expert Seminars!,190,63,11,0,0,
PoL invitation,Thu 09 Mar 2023,1033,440,42.59,36,3.48,8.18,FALSE,Save the date for your Presentation of Learning!,2771,1044,52,11,0,
LW Oracy Starter Bundle - Avanti,Wed 08 Mar 2023,1,1,100,1,100,100,FALSE,Voice 21 Oracy Starter Bundle,4,1,8,0,0,
LW Oracy Starter Bundle - Avanti,Tue 07 Mar 2023,4,4,100,4,100,100,FALSE,Voice 21 Oracy Starter Bundle,11,4,36,0,0,
LW - Pre-pipeline: Reg almost open,Tue 07 Mar 2023,1700,791,46.53,298,17.53,37.67,FALSE,⌛It's the final countdown...,1440,1761,3275,61,3,
Talk on Tuesday: The importance of speechmaking,Tue 07 Mar 2023,2600,1008,38.77,156,6,15.48,FALSE,Talk on Tuesday: The importance of speechmaking,3025,2605,386,5,2,
LW - Oops!,Tue 07 Mar 2023,350,110,31.43,16,4.57,14.55,FALSE,Bear with us...,380,353,30,3,0,
LW Oracy Starter Bundle - Scotland,Mon 06 Mar 2023,8,8,100,7,87.5,87.5,FALSE,Voice 21 Oracy Starter Bundle,124,9,77,1,0,
Reminder - International Oracy Leaders 2023,Mon 06 Mar 2023,155,83,53.55,32,20.65,38.55,FALSE,There's still time to become an International Oracy Leader with Voice 21!,262,157,160,2,0,
ONE OFF - TEST Haberdashers' Aske's Knights Academy,Thu 02 Mar 2023,3,2,66.67,1,33.33,50,FALSE,ONE OFF - TEST Haberdashers' Aske's Knights Academy,8,3,1,0,0,
LW Oracy Starter Bundle - Worcester,Thu 02 Mar 2023,3,2,66.67,2,66.67,100,FALSE,Voice 21 Oracy Starter Bundle,2,3,8,0,0,
ONE OFF Important Information About your Development Day 2,Tue 28 Feb 2023,39,14,35.9,6,15.38,42.86,FALSE,ONE OFF Important Information About your Development Day 2,268,41,19,2,0,
LW Oracy Starter Bundle - Cambridgeshire CC,Tue 28 Feb 2023,11,9,81.82,7,63.64,77.78,FALSE,Voice 21 Oracy Starter Bundle,316,13,100,2,0,
ONE OFF London E Programme Launch Recording,Tue 28 Feb 2023,40,18,45,5,12.5,27.78,FALSE,ONE OFF London E Programme Launch Recording,43,42,5,2,0,
Talk on Tuesday: Inspire your students on International Women’s Day,Tue 28 Feb 2023,2584,1289,49.88,736,28.48,57.1,FALSE,Talk on Tuesday: Inspire your students on International Women’s Day,6172,2596,3594,12,0,
Voice 21 launches new newsletter,Mon 27 Feb 2023,4678,1721,36.79,744,15.9,43.23,FALSE,Welcome to the Oracy Opinion - a new newsletter from Voice 21,4173,4760,2467,82,7,
Location of your Development Day,Fri 24 Feb 2023,28,1,3.57,1,3.57,100,FALSE,Location of your Development Day,2,29,2,1,0,
LW Oracy Starter Bundle - HG 9.2.23,Fri 24 Feb 2023,2,2,100,2,100,100,FALSE,Voice 21 Oracy Starter Bundle,43,2,8,0,0,
Key Things for your Development Day (One Off),Fri 24 Feb 2023,28,20,71.43,12,42.86,60,FALSE,Key Things for your Development Day (One Off),158,29,32,1,0,
January 23 Start Line Oracy Survey Reports,Thu 23 Feb 2023,152,140,92.11,129,84.87,92.14,FALSE,Your School's Oracy Report,1419,153,537,1,0,
International Oracy Leaders 2023,Wed 22 Feb 2023,155,97,62.58,38,24.52,39.18,FALSE,Become an International Oracy Leader with Voice 21!,333,157,45,2,0,
Buckinghamshire Welcome Webinar Recording,Mon 20 Feb 2023,26,12,46.15,1,3.85,8.33,FALSE,ONE OFF Buckinghamshire Welcome Webinar Recording,42,28,1,2,0,
LW - Opps: Reg almost open (copy),Fri 17 Feb 2023,90,36,40,20,22.22,55.56,FALSE,⌛It's the final countdown...,148,92,104,2,1,
LW - Leads: Reg almost open,Fri 17 Feb 2023,240,98,40.83,48,20,48.98,FALSE,⌛It's the final countdown...,199,241,261,1,0,
ONE OFF - Worcestershire LD DD SSV follow up,Fri 17 Feb 2023,9,5,55.56,1,11.11,20,FALSE,Development Day Next Steps,9,9,1,0,0,
ONE OFF - South B LD A+S reminder,Thu 16 Feb 2023,33,30,90.91,18,54.55,60,FALSE,Actions to Complete before your Development Day,286,33,57,0,0,
ONE OFF - Worcestershire LD SSV feedback,Wed 15 Feb 2023,6,3,50,0,0,0,FALSE,Share your feedback,4,6,0,0,0,
Talk on Tuesday: Boost attainment in reading through oracy,Tue 14 Feb 2023,3303,1634,49.47,949,28.73,58.08,FALSE,Talk on Tuesday: Boost attainment in reading through oracy,4650,3316,1919,13,0,
LW Oracy Starter Bundle - HG 9.2.23,Mon 13 Feb 2023,2,2,100,2,100,100,FALSE,Voice 21 Oracy Starter Bundle,12,2,11,0,0,
LW Oracy Starter Bundle - HG 9.2.23,Fri 10 Feb 2023,14,11,78.57,6,42.86,54.55,FALSE,Voice 21 Oracy Starter Bundle,34,14,20,0,0,
Have a wonderful half term,Fri 10 Feb 2023,595,202,33.95,13,2.18,6.44,FALSE,Have a wonderful half term,503,607,36,12,1,
LW Oracy Starter Bundle - HG 8.2.23,Thu 09 Feb 2023,11,7,63.64,6,54.55,85.71,FALSE,Voice 21 Oracy Starter Bundle,39,12,68,1,0,
ONE OFF Interested in connecting with another school?,Thu 09 Feb 2023,478,182,38.08,52,10.88,28.57,FALSE,ONE OFF Interested in connecting with another school?,779,485,95,7,0,
ONE OFF - LD Expert Seminar,Wed 08 Feb 2023,32,19,59.38,2,6.25,10.53,FALSE,Get ready for your Leadership Development Expert Seminars!,105,32,2,0,0,
ONE OFF - LD Expert Seminar Sept 22,Wed 08 Feb 2023,29,12,41.38,4,13.79,33.33,FALSE,Get ready for your Leadership Development Expert Seminars!,60,29,8,0,0,
ONE OFF - Worcestershire LD SSV updated reminder,Wed 08 Feb 2023,9,3,33.33,1,11.11,33.33,FALSE,IMPORTANT: Change of start time for School Study Visit on Wednesday 15th February,6,9,3,0,0,
Speechmaking challenge: Inspire your students to use their Voice4Change,Wed 08 Feb 2023,3290,1506,45.78,833,25.32,55.31,FALSE,Speechmaking challenge: Inspire your students to use their Voice4Change,4797,3304,1055,14,0,
ONE OFF Buckinghamshire Aylesbury,Wed 08 Feb 2023,26,1,3.85,1,3.85,100,FALSE,ONE OFF Information about your Welcome Webinar,2,28,2,2,0,
LW Flying High Oracy Starter Bundle,Wed 08 Feb 2023,62,43,69.35,27,43.55,62.79,FALSE,Voice 21 Oracy Starter Bundle,248,64,124,2,0,
ONE OFF - Worcestershire LD SSV reminder,Wed 08 Feb 2023,9,1,11.11,0,0,0,FALSE,Get ready for your Development Day!,2,9,0,0,0,
ONE OFF Buckinghamshire Aylesbury,Tue 07 Feb 2023,26,13,50,2,7.69,15.38,FALSE,ONE OFF Buckinghamshire Aylesbury Welcome Webinar Link,110,28,2,2,0,
Talk on Tuesday: Talking about misogyny,Tue 07 Feb 2023,3285,1580,48.1,866,26.36,54.81,FALSE,Talk on Tuesday: Talking about misogyny,5724,3304,1217,19,2,
"Unheard Voices, Lost Potential",Mon 06 Feb 2023,4574,1425,31.15,277,6.06,19.44,FALSE,"Unheard Voices, Lost Potential: announcing Voice 21's annual conference",3999,4637,514,63,3,
Final reminder to complete oracy surveys Jan 23,Mon 06 Feb 2023,339,201,59.29,97,28.61,48.26,FALSE,Last chance to complete your oracy surveys!,3864,345,1156,6,0,
ONE OFF - Cohort B4 reminder email,Tue 31 Jan 2023,31,20,64.52,2,6.45,10,FALSE,Your Next Programme Activity,60,31,2,0,0,
ONE OFF - South B LD DD new dates,Tue 31 Jan 2023,33,30,90.91,14,42.42,46.67,FALSE,Get ready for your Residential Development Day - Confirmed New Dates,777,33,46,0,0,
Talk on Tuesday: Insights and impact of oracy,Tue 31 Jan 2023,3275,1571,47.97,821,25.07,52.26,FALSE,Talk on Tuesday: Insights and impact of oracy,5608,3292,981,17,1,
LW Luton Oracy Starter Bundle,Mon 30 Jan 2023,24,17,70.83,10,41.67,58.82,FALSE,Voice 21 Oracy Starter Bundle,141,25,66,1,0,
ONE OFF - Worcestershire LD SSV new date reminder,Mon 30 Jan 2023,8,2,25,1,12.5,50,FALSE,Get ready for your Development Day - Confirmed New Date,24,8,1,0,0,
ONE OFF - CD Cohort C2 DD reminder,Thu 26 Jan 2023,46,27,58.7,10,21.74,37.04,FALSE,Get ready for your Development Day - Zoom Link,191,46,23,0,0,
ONE OFF West Sussex Open Learning,Thu 26 Jan 2023,53,23,43.4,1,1.89,4.35,FALSE,ONE OFF West Sussex Open Learning,219,55,5,2,0,
Member school head teachers - Impact Report Jan 23 v2,Thu 26 Jan 2023,484,192,39.67,116,23.97,60.42,FALSE,Something to talk about - Voice 21 Insights and Impact Report!,433,504,590,20,3,
Interested in visiting or linking up with another school?,Wed 25 Jan 2023,13,10,76.92,8,61.54,80,FALSE,ONE OFF Want to visit or link up with another school?,84,13,14,0,0,
Ark Important information about your development day 1/2/2023,Wed 25 Jan 2023,45,1,2.22,1,2.22,100,FALSE,ONE OFF Ark Important information about your development day 1/2/2023,2,47,2,2,0,
LW Kirklees Oracy Starter Bundle,Wed 25 Jan 2023,63,42,66.67,29,46.03,69.05,FALSE,Voice 21 Oracy Starter Bundle,147,64,152,1,0,
ONE OFF Ark Development Day,Wed 25 Jan 2023,28,0,0,0,0,0,FALSE,ONE OFF Important information about your Ark Development Day,0,28,0,0,0,
Talk on Tuesday: Introducing our Student-friendly Oracy Frameworks,Tue 24 Jan 2023,3267,1577,48.27,1014,31.04,64.3,FALSE,Talk on Tuesday: Introducing our Student-friendly Oracy Frameworks,5665,3283,2424,16,1,
Voice of Voice 21 - Jan 2023,Mon 23 Jan 2023,897,511,56.97,217,24.19,42.47,FALSE,Voice of Voice 21 - January 2023,1633,907,409,10,1,
Talk of the Month January 2023,Mon 23 Jan 2023,3720,1257,33.79,485,13.04,38.58,FALSE,Talk of the Month January 2023,3248,3815,912,95,4,
First reminder to complete oracy surveys Jan 23,Mon 23 Jan 2023,321,205,63.86,128,39.88,62.44,FALSE,Reminder to complete your oracy surveys!,5405,327,1693,6,0,
"ONE OFF - South B LD PL follow up A, completed S",Fri 20 Jan 2023,13,12,92.31,7,53.85,58.33,FALSE,Your Programme Launch next steps - Actions to Complete,71,13,28,0,0,
ONE OFF - South B LD PL follow up - A+S,Fri 20 Jan 2023,31,27,87.1,16,51.61,59.26,FALSE,Your Programme Launch next steps - Actions to Complete,138,31,51,0,0,
Filton Avenue Peer Learning,Wed 18 Jan 2023,159,74,46.54,19,11.95,25.68,FALSE,Visit a Voice 21 Oracy Centre of Excellence,463,160,167,1,0,
ONE OFF Check In; West Sussex,Wed 18 Jan 2023,53,23,43.4,0,0,0,FALSE,Check In; West Sussex,47,55,0,2,0,
ONE OFF - South B LD PL feedback,Tue 17 Jan 2023,31,24,77.42,13,41.94,54.17,FALSE,Share your feedback,62,31,23,0,0,
ONE OFF - Worcestershire LD SSV new date change,Tue 17 Jan 2023,8,2,25,0,0,0,FALSE,Important: New Date for your Development Day to be confirmed,17,8,0,0,0,
Talk on Tuesday: Improving storytelling using oracy,Tue 17 Jan 2023,3198,1552,48.53,868,27.14,55.93,FALSE,Talk on Tuesday: Improving storytelling using oracy,5576,3225,1496,27,0,
ONE OFF - London D PL reminder,Mon 16 Jan 2023,24,18,75,14,58.33,77.78,FALSE,Get ready for your Programme Launch!,147,24,28,0,0,
ONE OFF - South A LD DD SSV follow up,Mon 16 Jan 2023,21,10,47.62,2,9.52,20,FALSE,Development Day Next Steps,61,21,2,0,0,
ONE OFF - South A LD SSV feedback - Primary Schools,Fri 13 Jan 2023,5,4,80,3,60,75,FALSE,Share your feedback,10,5,9,0,0,
ONE OFF - South B PL DD reminder missing,Fri 13 Jan 2023,2,2,100,0,0,0,FALSE,Get ready for your Programme Launch!,3,2,0,0,0,
ONE OFF - South A LD SSV feedback - Secondary Schools,Thu 12 Jan 2023,6,5,83.33,2,33.33,40,FALSE,Share your feedback,8,6,2,0,0,
ONE OFF - South B PL DD reminder missing,Thu 12 Jan 2023,7,6,85.71,4,57.14,66.67,FALSE,Get ready for your Programme Launch!,25,7,7,0,0,
One Off Suffolk Get started - School Lead,Wed 11 Jan 2023,1,1,100,1,100,100,FALSE,Getting Started with Voice 21,8,1,7,0,0,
LW Oracy Starter Bundle,Wed 11 Jan 2023,1,1,100,1,100,100,FALSE,Voice 21 Oracy Starter Bundle,43,1,5,0,0,
LW Oracy Starter Bundle,Wed 11 Jan 2023,4,2,50,0,0,0,FALSE,Voice 21 Oracy Starter Bundle,3,4,0,0,0,
ONE OFF - South B PL DD reminder,Wed 11 Jan 2023,21,12,57.14,7,33.33,58.33,FALSE,Get ready for your Programme Launch!,112,21,11,0,0,
ONE OFF - OL SC Introducing Oracy 4 Reminder,Tue 10 Jan 2023,7,1,14.29,0,0,0,FALSE,Important: Introducing Oracy - New Zoom Link,1,7,0,0,0,
Talk on Tuesday: Get involved with the Douglas Barnes Award,Tue 10 Jan 2023,3200,1467,45.84,793,24.78,54.06,FALSE,Talk on Tuesday: Get involved with the Douglas Barnes Award,3590,3237,1721,37,3,
ONE OFF - OL SC Introducing Oracy 4 Reminder,Mon 09 Jan 2023,29,24,82.76,12,41.38,50,FALSE,Important: Introducing Oracy - New Zoom Link,143,29,30,0,0,
One Off Elms Farm Get started - School Lead,Mon 09 Jan 2023,1,1,100,1,100,100,FALSE,Getting Started with Voice 21,4,1,2,0,0,
Oracy Survey Links (Sept for Jan),Mon 09 Jan 2023,33,14,42.42,6,18.18,42.86,FALSE,It’s time to complete your oracy surveys!,415,33,20,0,0,
ONE OFF - South A LD SSV reminder 2 - Primary Schools,Mon 09 Jan 2023,10,6,60,2,20,33.33,FALSE,Actions to Complete before your School Study Visit,45,10,2,0,0,
Get Started - Oracy Champions (Jan 23),Mon 09 Jan 2023,287,159,55.4,103,35.89,64.78,FALSE,Get started as an Oracy Champion with Voice 21!,895,305,316,18,0,
Jan 23 Oracy Survey Links,Mon 09 Jan 2023,253,181,71.54,119,47.04,65.75,FALSE,It’s time to complete your oracy surveys!,5815,260,1687,7,0,
LW Oracy Starter Bundle,Fri 06 Jan 2023,1,1,100,1,100,100,FALSE,Voice 21 Oracy Starter Bundle,3,1,1,0,0,
ONE OFF  Get started - School Leads Riverside,Fri 06 Jan 2023,1,1,100,0,0,0,FALSE,Getting Started with Voice 21,2,1,0,0,0,
ONE OFF - Get started - School Leads (Meadow View JMI),Thu 05 Jan 2023,1,1,100,1,100,100,FALSE,Getting Started with Voice 21,4,1,1,0,0,
ONE OFF - Get started - School Leads (Newbottle),Thu 05 Jan 2023,1,0,0,0,0,0,FALSE,Getting Started with Voice 21,0,1,0,0,0,
LW Oracy Starter Bundle,Thu 05 Jan 2023,5,2,40,0,0,0,FALSE,Voice 21 Oracy Starter Bundle,3,5,0,0,0,
ONE OFF - Worcestershire LD SSV reminder,Thu 05 Jan 2023,8,2,25,1,12.5,50,FALSE,Get ready for your School Study Visit!,5,8,1,0,0,
Get started - School Leads,Thu 05 Jan 2023,240,173,72.08,106,44.17,61.27,FALSE,Getting Started with Voice 21,2334,246,385,6,0,
ONE OFF - South A LD SSV reminder - Primary Schools,Wed 04 Jan 2023,12,8,66.67,5,41.67,62.5,FALSE,Get ready for your School Study Visit!,198,12,22,0,0,
ONE OFF - South A LD SSV reminder - Secondary Schools,Wed 04 Jan 2023,9,8,88.89,6,66.67,75,FALSE,Get ready for your School Study Visit!,234,9,25,0,0,
LW Oracy Starter Bundle,Wed 04 Jan 2023,13,6,46.15,4,30.77,66.67,FALSE,Voice 21 Oracy Starter Bundle,15,14,8,1,0,
National Cohort (Jan 23) School Lead Pre Christmas Welcome,Wed 04 Jan 2023,1,0,0,0,0,0,FALSE,"[SchoolName,fallback=], welcome to Voice 21!",0,1,0,0,0,
VOV21 Dec 22,Wed 21 Dec 2022,892,367,41.14,45,5.04,12.26,FALSE,Voice of Voice 21 - Merry Christmas!,702,909,131,17,4,
Final end of Membership Email,Wed 21 Dec 2022,124,42,33.87,3,2.42,7.14,FALSE,"[SchoolName,fallback=], coming to the end of your current Voice 21 membership",115,129,3,5,0,
School Lead Aut22 Christmas Open Learning NPS,Fri 16 Dec 2022,577,233,40.38,43,7.45,18.45,FALSE,Voice 21 - a sneak peek into 2023,512,577,121,0,0,
National Cohort (Jan 23) School Lead Pre Christmas Welcome,Wed 14 Dec 2022,152,113,74.34,52,34.21,46.02,FALSE,"[SchoolName,fallback=], welcome to Voice 21!",1455,156,139,4,0,
December Talk of the Month,Wed 14 Dec 2022,3731,1157,31.01,371,9.94,32.07,FALSE,December Talk of the Month,2481,3820,458,89,1,
LW Oracy Starter Bundle,Tue 13 Dec 2022,1,1,100,1,100,100,FALSE,Voice 21 Oracy Starter Bundle,9,1,9,0,0,
Talk on Tuesday: Sustaining oracy at home,Tue 13 Dec 2022,2863,843,29.44,202,7.06,23.96,FALSE,Talk on Tuesday: Sustaining oracy at home,3101,2873,467,10,0,
LW Oracy Starter Bundle,Fri 09 Dec 2022,2,1,50,1,50,100,FALSE,Voice 21 Oracy Starter Bundle,3,2,6,0,0,
Jan 23 End Line Oracy Survey Reports,Thu 08 Dec 2022,79,51,64.56,48,60.76,94.12,FALSE,Your school’s Oracy Report,419,81,142,2,0,
Programme enrolment new/renewing,Wed 07 Dec 2022,162,68,41.98,44,27.16,64.71,FALSE,1 day to go! Join our Welcome Webinar,532,165,110,3,0,
Programme enrolment multi-year,Wed 07 Dec 2022,38,14,36.84,3,7.89,21.43,FALSE,1 day to go! Join our Welcome Webinar,46,40,6,2,0,
LW Oracy Starter Bundle,Wed 07 Dec 2022,2,1,50,0,0,0,FALSE,Voice 21 Oracy Starter Bundle,18,2,0,0,0,
ONE OFF - Worcestershire LD residential DD follow up email,Wed 07 Dec 2022,8,5,62.5,0,0,0,FALSE,Development Day Next Steps,15,8,0,0,0,
ONE OFF - South A residential DD follow up email - primary schools,Tue 06 Dec 2022,12,7,58.33,2,16.67,28.57,FALSE,Development Day Next Steps,128,12,8,0,0,
ONE OFF - South A residential DD follow up email - secondary schools,Tue 06 Dec 2022,9,8,88.89,2,22.22,25,FALSE,Development Day Next Steps,94,9,2,0,0,
Talk on Tuesday: Talking about oracy and maths,Tue 06 Dec 2022,2844,1147,40.33,193,6.79,16.83,FALSE,Talk on Tuesday: Talking about oracy and maths,4939,2856,433,12,1,
LW Oracy Starter Bundle,Mon 05 Dec 2022,1,0,0,0,0,0,FALSE,Voice 21 Oracy Starter Bundle,0,1,0,0,0,
ONE OFF - South A residential DD feedback,Fri 02 Dec 2022,15,10,66.67,4,26.67,40,FALSE,Share your feedback,19,15,7,0,0,
LW Opps and Leads Deadline,Fri 02 Dec 2022,263,49,18.63,6,2.28,12.24,FALSE,⏰Today's the day!⏰,78,266,26,3,0,
LW Oracy Starter Bundle,Fri 02 Dec 2022,4,4,100,4,100,100,FALSE,Voice 21 Oracy Starter Bundle,16,4,15,0,0,
LW Oracy Starter Bundle,Thu 01 Dec 2022,5,4,80,3,60,75,FALSE,Voice 21 Oracy Starter Bundle,42,6,7,1,0,
ONE OFF - Holy Trinity Rothwell Helen Owen new SL,Tue 29 Nov 2022,1,0,0,0,0,0,FALSE,New School Lead - Holy Trinity Rothwell,0,1,0,0,0,
Talk on Tuesday: Embedding and sustaining change,Tue 29 Nov 2022,2837,1346,47.44,724,25.52,53.79,FALSE,Talk on Tuesday: Embedding and sustaining change,4171,2851,1549,14,0,
KW - Leads/Opps - 4 days until registrations close,Mon 28 Nov 2022,271,67,24.72,13,4.8,19.4,FALSE,🎄Membership registrations closing for Christmas,119,272,13,1,0,
LW Oracy Starter Bundle,Mon 28 Nov 2022,8,4,50,2,25,50,FALSE,Voice 21 Oracy Starter Bundle,23,8,3,0,0,
ONE OFF - Birmingham A - Development Day Next Steps,Mon 28 Nov 2022,34,19,55.88,9,26.47,47.37,FALSE,Development Day Next Steps,67,34,26,0,0,
Renewal to School Leads Spring 22,Mon 28 Nov 2022,68,31,45.59,11,16.18,35.48,FALSE,Sorry to see you go! Your membership is ending,156,68,95,0,0,
ONE OFF - South A LD DD reminder,Thu 24 Nov 2022,20,15,75,14,70,93.33,FALSE,Get ready for your Development Day!,96,20,71,0,0,
DRAFT - Sep 22 Oracy Survey Reports - final deadline,Thu 24 Nov 2022,293,178,60.75,145,49.49,81.46,FALSE,Your school's Oracy Report,941,302,427,9,0,
Voicing Vocab Oracy Surveys,Wed 23 Nov 2022,11,7,63.64,3,27.27,42.86,FALSE,It’s time to complete your oracy surveys!,21,11,23,0,0,
DELTA - OL invite,Tue 22 Nov 2022,82,15,18.29,7,8.54,46.67,FALSE,Get ready for your Open Learning event!,64,84,14,2,0,
LW Oracy Starter Bundle,Tue 22 Nov 2022,2,2,100,1,50,50,FALSE,Voice 21 Oracy Starter Bundle,2,3,1,1,0,
Talk on Tuesday: Speaking up for Climate Action,Tue 22 Nov 2022,2807,1339,47.7,733,26.11,54.74,FALSE,Talk on Tuesday: Speaking up for Climate Action,4523,2824,1892,17,0,
LW - Opps final Jan'23 push,Mon 21 Nov 2022,58,20,34.48,4,6.9,20,FALSE,🎁Just for you from Voice 21,39,58,4,0,0,
Programme enrolment renewal & new biz,Mon 21 Nov 2022,201,137,68.16,103,51.24,75.18,FALSE,Who will be your school’s Oracy Champions next year?,1431,208,528,7,1,
Programme enrolment multi-year,Mon 21 Nov 2022,42,21,50,8,19.05,38.1,FALSE,Who will be your school’s Oracy Champions next year?,92,44,38,2,0,
ONE OFF - South A LD S reminder,Mon 21 Nov 2022,3,3,100,2,66.67,66.67,FALSE,Actions to Complete Today for your Development Day,27,3,8,0,0,
ONE OFF - South A LD A reminder,Mon 21 Nov 2022,6,5,83.33,5,83.33,100,FALSE,Actions to Complete Today for your Development Day,16,6,8,0,0,
ONE OFF - South A LD A+S reminder,Mon 21 Nov 2022,6,4,66.67,2,33.33,50,FALSE,Actions to Complete Today for your Development Day,16,6,15,0,0,
LW Oracy Starter Bundle,Fri 18 Nov 2022,10,7,70,6,60,85.71,FALSE,Voice 21 Oracy Starter Bundle,44,10,60,0,0,
LW - Leads final Jan'23 push,Thu 17 Nov 2022,195,42,21.54,7,3.59,16.67,FALSE,🎁Just for you from Voice 21,78,196,7,1,0,
ONE OFF - South A LD A+S reminder,Thu 17 Nov 2022,13,12,92.31,10,76.92,83.33,FALSE,Actions to Complete before your Development Day,118,13,40,0,0,
ONE OFF - South A LD A reminder,Thu 17 Nov 2022,3,2,66.67,2,66.67,100,FALSE,Actions to Complete before your Development Day,13,3,2,0,0,
ONE OFF - York A2 - Get ready for your Development Day! - Missed transactional email,Wed 16 Nov 2022,2,2,100,1,50,50,FALSE,Get ready for your Development Day!,7,2,4,0,0,
LW Oracy Starter Bundle,Wed 16 Nov 2022,20,9,45,5,25,55.56,FALSE,Voice 21 Oracy Starter Bundle,21,21,22,1,0,
ONE OFF - South A LD DD,Wed 16 Nov 2022,24,20,83.33,17,70.83,85,FALSE,Your Residential Development Days - Agenda and Details,125,24,79,0,0,
Renewal to School Leads Spring 22,Tue 15 Nov 2022,130,58,44.62,8,6.15,13.79,FALSE,Your membership is ending: last chance to renew,363,130,57,0,0,
Talk on Tuesday: embedding good listening behaviours,Tue 15 Nov 2022,2784,1416,50.86,828,29.74,58.47,FALSE,Talk on Tuesday: Embedding good listening behaviours,6416,2800,4375,16,1,
LW Oracy Starter Bundle - PRUs,Mon 14 Nov 2022,10,6,60,2,20,33.33,FALSE,Voice 21 Oracy Starter Bundle,8,10,8,0,0,
ONE OFF - Haberdashers' Aske's Knights Academy Follow up,Fri 11 Nov 2022,3,0,0,0,0,0,FALSE,ONE OFF - Haberdashers' Aske's Knights Academy Follow up,0,3,0,0,0,
LW Oracy Starter Bundle,Thu 10 Nov 2022,1,1,100,1,100,100,FALSE,Voice 21 Oracy Starter Bundle,1,1,1,0,0,
LW Oracy Starter Bundle,Thu 10 Nov 2022,1,1,100,0,0,0,FALSE,Voice 21 Oracy Starter Bundle,1,1,0,0,0,
LW Oracy Starter Bundle,Wed 09 Nov 2022,3,2,66.67,1,33.33,50,FALSE,Voice 21 Oracy Starter Bundle,3,3,5,0,0,
LW - '21 bundle sign-ups - Membership sign up push,Wed 09 Nov 2022,82,30,36.59,1,1.22,3.33,FALSE,👀 Discount code inside...,51,87,1,5,0,
Special membership offer November 2022,Wed 09 Nov 2022,3718,993,26.71,148,3.98,14.9,FALSE,Special membership offer - 10% off January sign-ups,2483,3797,378,79,4,
LW Oracy Starter Bundle,Wed 09 Nov 2022,59,42,71.19,31,52.54,73.81,FALSE,Voice 21 Oracy Starter Bundle,166,62,167,3,0,
LW Jan 2023 Cohort - Keeping Warm,Wed 09 Nov 2022,8,7,87.5,6,75,85.71,FALSE,Voice 21: getting ready for January,87,8,23,0,0,
LW - '21 non-renewals - Membership sign up push,Tue 08 Nov 2022,193,30,15.54,1,0.52,3.33,FALSE,👀 Just for you - from an old friend!,54,221,1,28,0,
Renewal to School Leads Spring 22,Tue 08 Nov 2022,132,59,44.7,24,18.18,40.68,FALSE,Continue to transform learning through talk in January 2023,218,132,67,0,1,
"Final Oracy Survey Reminder, Houldsworth Valley",Tue 08 Nov 2022,1,0,0,0,0,0,FALSE,"Final Oracy Survey Reminder, Houldsworth Valley",0,1,0,0,0,
Talk on Tuesday: accent bias and discrimination,Tue 08 Nov 2022,2741,1300,47.43,678,24.74,52.15,FALSE,Talk on Tuesday:  accent bias and discrimination,4733,2753,2107,12,2,
KW - Leads - Membership sign up push,Mon 07 Nov 2022,182,47,25.82,10,5.49,21.28,FALSE,⏳ Time is running out to secure your place,68,183,13,1,2,
KW - Oracy Oct - Membership sign up push,Mon 07 Nov 2022,809,441,54.51,128,15.82,29.02,FALSE,👀 Just for you - a thank you from us!,1395,832,264,23,0,
ONE OFF - London B2 - Your Development Day - Important: Now Online - 10th Oct,Mon 07 Nov 2022,16,3,18.75,2,12.5,66.67,FALSE,Your Development Day - Important: Now Online,5,17,10,1,0,
ONE OFF - London B - Your Development Day - Important: Now Online - 10th Oct,Mon 07 Nov 2022,15,3,20,2,13.33,66.67,FALSE,Your Development Day - Important: Now Online,13,15,7,0,0,
October TotM 2022,Thu 03 Nov 2022,3716,1091,29.36,216,5.81,19.8,FALSE,Talk of the Month,3361,3810,515,94,4,
ONE OFF - CD clean DD recording,Wed 02 Nov 2022,348,188,54.02,70,20.11,37.23,FALSE,Development Day Next Steps,850,349,310,1,0,
ONE OFF - South A LD,Wed 02 Nov 2022,25,17,68,12,48,70.59,FALSE,Actions to Complete before your Development Day,38,25,38,0,0,
ONE OFF - London B2 - Your Development Day - Important: Now Online - 10th Oct,Tue 01 Nov 2022,28,12,42.86,6,21.43,50,FALSE,Your Development Day - Important: Now Online,234,29,25,1,0,
ONE OFF - London B - Your Development Day - Important: Now Online - 10th Oct,Tue 01 Nov 2022,34,20,58.82,11,32.35,55,FALSE,Your Development Day - Important: Now Online,155,34,19,0,0,
ONE OFF - LDST CD clean recordings,Tue 01 Nov 2022,16,8,50,2,12.5,25,FALSE,Development Day Next Steps,17,16,6,0,0,
Talk on Tuesday: valuing every voice - students with SLCN,Tue 01 Nov 2022,2733,980,35.86,297,10.87,30.31,FALSE,Talk on Tuesday: valuing every voice - students with SLCN,4505,2770,803,37,1,
Oracy October- Final,Mon 31 Oct 2022,806,391,48.51,21,2.61,5.37,FALSE,Oracy October: the results - plus your chance to win,810,832,39,26,1,
